line_cd,company_cd,line_name,line_name_k,line_name_h,line_color_c,line_color_t,line_type,lon,lat,zoom,e_status,e_sort
99624,249,大阪メトロ長堀鶴見緑地線,オオサカメトロナガホリツルミリョクチセン,高速電気軌道第7号線,a9cc51,萌黄,,135.53824562069,34.69274887971,12,0,99624
99652,249,大阪メトロ今里筋線,オオサカメトロイマザトスジセン,高速電気軌道第8号線,ee7b1a,柑子,,135.55022387735,34.717781921555,13,0,99624
99625,249,大阪メトロ南港ポートタウン線,オオサカメトロナンコウポートタウンセン,大阪市高速電気軌道南港ポートタウン線,00a0de,セルリアンブルー,,135.44093093232,34.628381862008,13,0,99625
99626,201,大阪モノレール線,オオサカモノレールセン,大阪モノレール線,5058C3,青,,135.52449542857,34.789061357143,12,0,99626
99627,201,大阪モノレール彩都線,オオサカモノレールサイトセン,国際文化公園都市線,5058C3,青,,135.52708881797,34.830775671316,13,0,99627
99628,202,阪堺電軌上町線,ハンカイデンキウエマチセン,阪堺電軌上町線,083388,紺,,135.50418701829,34.627457948724,14,0,99628
99629,202,阪堺電軌阪堺線,ハンカイデンキハンカイセン,阪堺電軌阪堺線,008947,緑,,135.48094140579,34.598870279166,12,0,99629
99630,203,神戸高速東西線,コウベコウソクトウザイセン,神戸高速東西線,2560A8,青,,135.17274029102,34.677956663211,13,0,99630
99631,203,神戸高速南北線,コウベコウソクナンボクセン,神戸高速南北線,2560A8,青,,135.16738643121,34.677884628806,16,0,99631
99632,204,有馬線,アリマセン,神鉄有馬線,D53924,朱,,135.18505692567,34.752459971457,12,0,99632
99633,204,三田線,サンダセン,神鉄三田線,D53924,朱,,135.22213786348,34.850098613062,12,0,99633
99634,204,公園都市線,コウエントシセン,神鉄公園都市線,D53924,朱,,135.20684257405,34.89567763884,13,0,99634
99635,204,粟生線,アオセン,神鉄粟生線,D53924,朱,,135.01903507246,34.794565058363,11,0,99635
99636,211,北神線,ホクシンセン,神戸市営地下鉄北神線,D59A00,ゴールド,,135.17142,34.761691,12,0,99636
99637,206,山陽電鉄本線,サンヨウデンテツホンセン,山陽電鉄本線,F45757,赤,,134.88414166679,34.747293594959,10,0,99637
99638,206,山陽電鉄網干線,サンヨウデンテツアボシセン,山陽電鉄網干線,F45757,赤,,134.62899303704,34.796193571429,13,0,99638
99615,207,能勢電鉄妙見線,ノセデンテツミョウケンセン,能勢電鉄妙見線,,,,135.42379891801,34.872305222945,12,0,99640
99640,207,能勢電鉄日生線,ノセデンテツニッセイセン,能勢電鉄日生線,B72142,あずき,,135.402694,34.900812803779,14,0,99640
99642,208,三木鉄道三木線,ミキテツドウミキセン,三木鉄道三木線,009CFF,水色,,134.93909084126,34.798604666545,13,2,99642
99643,209,北条鉄道北条線,ホウジョウテツドウホウジョウセン,北条鉄道北条線,7564D3,青紫,,134.86388578711,34.894978879381,12,0,99643
99644,210,智頭急行智頭線,チズキュウコウチズセン,智頭急行智頭線,000099,紺,,134.32681277511,35.09441854421,10,0,99644
99645,211,神戸市営地下鉄西神線,コウベシエイチカテツセイシンセン,神戸市営地下鉄西神線,01AF98,緑,,135.06888940733,34.683072416677,12,0,99645
99646,211,神戸市営地下鉄山手線,コウベシエイチカテツヤマテセン,神戸市営地下鉄山手線,01AF98,緑,,135.17147444775,34.68032212271,13,0,99646
99647,211,夢かもめ,ユメカモメ,神戸市営地下鉄海岸線,0388C0,青,,135.16885991797,34.670659049227,13,0,99647
99648,212,ポートライナー,ポートライナー,神戸新交通ポートアイランド線,FAA11C,オレンジ,,135.21260397884,34.670333538698,13,0,99648
99649,212,六甲ライナー,ロッコウライナー,神戸新交通六甲アイランド線,1FCB9F,エメラルド,,135.26778466667,34.702989444166,14,0,99649
99650,213,紀州鉄道線,キシュウテツドウセン,紀州鉄道線,081042,紺,,135.15612553757,33.895428111877,14,0,99650
99651,214,貴志川線,キシガワセン,和歌山電鐵貴志川線,DA381B,赤,,135.24080185449,34.229286681085,12,0,99651
99701,215,若桜線,ワカサセン,若桜鉄道若桜線,,,,134.30236431218,35.378991666667,12,0,99701
99702,216,北松江線,キタマツエセン,一畑電車北松江線,,,,132.89720223828,35.457747369699,11,0,99702
99703,216,大社線,タイシャセン,一畑電車大社線,,,,132.73028389102,35.389565006844,12,0,99703
99704,217,水島本線,ミズシマホンセン,水島臨海鉄道水島本線,,,,133.74785991377,34.564207353492,13,0,99704
99705,218,井原線,イバラセン,井原鉄道井原線,,,,133.5574914487,34.61669576109,11,0,99705
99706,219,東山線,ヒガシヤマセン,岡山電軌東山本線,,,,133.93158823069,34.66244005775,15,0,99706
99707,219,清輝橋線,セイキバシセン,岡山電軌清輝橋線,,,,133.92400867195,34.658570803527,15,0,99707
99708,220,スカイレールみどり坂線,スカイレールミドリザカセン,広島短距離交通瀬野線,,,,132.59332400529,34.427458637787,15,2,99708
